Accession,Country
KY561345.1,Brazil
KY561344.1,Brazil
MH252920.1,Brazil
MH252919.1,Brazil
MH252918.1,Brazil
MH252915.1,Brazil
MH252914.1,Brazil
MF926508.1,Nigeria
KY042045.1,Vietnam
KY042044.1,Puerto Rico
KY042043.1,Guatemala
KY042042.1,Philippines
KY042041.1,Philippines
KY042040.1,Philippines
KY042039.1,Brazil
KX062045.1,Haiti
KX062044.1,Haiti
KR816336.1,Brazil
KR816335.1,Brazil
KR816334.1,Brazil
KR816333.1,Brazil
KR815990.1,Brazil
KR815989.1,Brazil
KF383046.1,Ivory Coast
KF383045.1,Ivory Coast
KF383044.1,Ivory Coast
KF383043.1,Ivory Coast
KF383042.1,Ivory Coast
KF383041.1,Ivory Coast
KF383040.1,Ivory Coast
KF383039.1,Senegal
KF383038.1,Ivory Coast
KF383037.1,Ivory Coast
KF383036.1,Ivory Coast
KF383035.1,Uganda
KF383034.1,Senegal
KF383033.1,Senegal
KF383032.1,Senegal
KF383031.1,Senegal
KF383030.1,Burkina Faso
KF383029.1,Senegal
KF383028.1,Senegal
KF383027.1,Senegal
KF383026.1,Senegal
KF383025.1,Senegal
KF383024.1,Senegal
KF383023.1,Senegal
KF383022.1,Senegal
KF383021.1,Senegal
KF383020.1,Ivory Coast
KF383019.1,Senegal
KF383018.1,Senegal
KF383017.1,Senegal
KF383016.1,Senegal
KF383015.1,Senegal
KF270886.1,Gabon
MH249067.1,Brazil
MH249066.1,Brazil
MH249065.1,Brazil
MH249064.1,Brazil
MH249063.1,Brazil
MH249062.1,Brazil
MH130044.1,Malaysia
MH130043.1,Malaysia
MH130042.1,Malaysia
MG287146.1,India
KX906956.1,Malaysia
KX906955.1,Malaysia
KX906954.1,Malaysia
KX906953.1,Malaysia
KY561343.1,Brazil
AF372422.1,unknown
KX173844.1,Brazil
KX173843.1,Brazil
KX173842.1,Brazil
KX173841.1,Brazil
KX173840.1,Brazil
KU985088.1,Mexico
KT381874.1,Brazil
MN527290.1,Thailand
MH027651.1,Brazil
LC322992.1,Malaysia
LC229347.1,Malaysia
MF173410.1,India
LC218742.1,Japan
MH306204.1,Brazil
MH306203.1,Brazil
MH306202.1,Brazil
MH306201.1,Brazil
MH306200.1,Brazil
MH718923.1,Russia
MH718922.1,Russia
MH718921.1,Russia
MH718920.1,Russia
MH718919.1,Russia
MH718918.1,Russia
MH718917.1,Russia
MH718916.1,Russia
MH718915.1,Russia
MH718914.1,Russia
MH718913.1,Russia
MH718912.1,Russia
MH718911.1,Russia
KY465607.1,Ecuador
KY005879.1,Ecuador
AB908162.1,French Polynesia
KY064008.1,Bangladesh
